English,Punjabi,Time
kaytay raag paree si-o kahee-an kaytay gaavanhaaray.,kyqy rwg prI isau khIAin kyqy gwvxhwry ],922
gaavahi tuhno pa-un paanee baisantar gaavai raajaa Dharam du-aaray.,gwvih quhno pauxu pwxI bYsMqru gwvY rwjw Drmu duAwry ],926
gaavahi chit gupat likh jaaneh likh likh Dharam veechaaray.,gwvih icqu gupqu iliK jwxih iliK iliK Drmu vIcwry ],931
gaavahi eesar barmaa dayvee sohan sadaa savaaray.,gwvih eIsru brmw dyvI sohin sdw svwry ],934
gaavahi ind idaasan baithay dayviti-aa dar naalay.,gwvih ieMd iedwsix bYTy dyviqAw dir nwly ],937
gaavahi siDh samaaDhee andar gaavan saaDh vichaaray.,gwvih isD smwDI AMdir gwvin swD ivcwry ],941
gaavan jatee satee santokhee gaavahi veer karaaray.,gwvin jqI sqI sMqoKI gwvih vIr krwry ],944
gaavan pandit parhan rakheesar jug jug vaydaa naalay.,gwvin pMifq pVin rKIsr jugu jugu vydw nwly ],948
gaavahi mohnee-aa man mohan surgaa machh pa-i-aalay.,gwvih mohxIAw mnu mohin surgw mC pieAwly ],953
gaavan ratan upaa-ay tayray athsath tirath naalay.,gwvin rqn aupwey qyry ATsiT qIrQ nwly ],957
gaavahi joDh mahaabal sooraa gaavahi khaanee chaaray.,gwvih joD mhwbl sUrw gwvih KwxI cwry ],961
gaavahi khand mandal varbhandaa kar kar rakhay Dhaaray.,gwvih KMf mMfl vrBMfw kir kir rKy Dwry ],964
say-ee tuDhuno gaavahi jo tuDh bhaavan ratay tayray bhagat rasaalay.,syeI quDuno gwvih jo quDu Bwvin rqy qyry Bgq rswly ],968
hor kaytay gaavan say mai chit na aavan naanak ki-aa veechaaray.,hoir kyqy gwvin sy mY iciq n Awvin nwnku ikAw vIcwry ],973
so-ee so-ee sadaa sach saahib saachaa saachee naa-ee.,soeI soeI sdw scu swihbu swcw swcI nweI ],977
hai bhee hosee jaa-ay na jaasee rachnaa jin rachaa-ee.,hY BI hosI jwie n jwsI rcnw ijin rcweI ],983
rangee rangee bhaatee kar kar jinsee maa-i-aa jin upaa-ee.,rMgI rMgI BwqI kir kir ijnsI mwieAw ijin aupweI ],986
kar kar vaykhai keetaa aapnaa jiv tis dee vadi-aa-ee.,kir kir vyKY kIqw Awpxw ijv iqs dI vifAweI ],991
jo tis bhaavai so-ee karsee hukam na karnaa jaa-ee.,jo iqsu BwvY soeI krsI hukmu n krxw jweI ],995
so paatisaahu saahaa paatisaahib naanak rahan rajaa-ee. ||27||,so pwiqswhu swhw pwiqswihbu nwnk rhxu rjweI ]27],1000
munda santokh saram pat jholee Dhi-aan kee karahi bibhoot.,muMdw sMqoKu srmu pqu JolI iDAwn kI krih ibBUiq ],1005
khinthaa kaal ku-aaree kaa-i-aa jugat dandaa parteet.,iKMQw kwlu kuAwrI kwieAw jugiq fMfw prqIiq ],1009
aa-ee panthee sagal jamaatee man jeetai jag jeet.,AweI pMQI sgl jmwqI min jIqY jgu jIqu ],1013
aadays tisai aadays.,Awdysu iqsY Awdysu ],1019
aad aneel anaad anaahat jug jug ayko vays. ||28||,Awid AnIlu Anwid Anwhiq jugu jugu eyko vysu ]28],1021
bhugat gi-aan da-i-aa bhandaaran ghat ghat vaajeh naad.,Bugiq igAwnu dieAw BMfwrix Git Git vwjih nwd ],1024
