English,Punjabi
asaNkh kehahi sir bhaar ho-ay., AsMK khih isir Bwru hoie ] 
akhree naam akhree saalaah., AKrI nwmu AKrI swlwh ] 
akhree gi-aan geet gun gaah., AKrI igAwnu gIq gux gwh ] 
akhree likhan bolan baan., AKrI ilKxu bolxu bwix ] 
akhraa sir sanjog vakhaan., AKrw isir sMjogu vKwix ] 
jin ayhi likhay tis sir naahi., ijin eyih ilKy iqsu isir nwih ] 
jiv furmaa-ay tiv tiv paahi., ijv Purmwey iqv iqv pwih ] 
jaytaa keetaa taytaa naa-o., jyqw kIqw qyqw nwau ] 
vin naavai naahee ko thaa-o., ivxu nwvY nwhI ko Qwau ] 
kudrat kavan kahaa veechaar., kudriq kvx khw vIcwru ] 
vaari-aa na jaavaa ayk vaar., vwirAw n jwvw eyk vwr ] 
jo tuDh bhaavai saa-ee bhalee kaar., jo quDu BwvY sweI BlI kwr ] 
too sadaa salaamat nirankaar. ||19||, qU sdw slwmiq inrMkwr ]19] 
bharee-ai hath pair tan dayh., BrIAY hQu pYru qnu dyh ] 
paanee Dhotai utras khayh., pwxI DoqY auqrsu Kyh ] 
moot paleetee kaparh ho-ay., mUq plIqI kpVu hoie ] 
day saaboon la-ee-ai oh Dho-ay., dy swbUxu leIAY Ehu Doie ] 
bharee-ai mat paapaa kai sang., BrIAY miq pwpw kY sMig ] 
oh Dhopai naavai kai rang., Ehu DopY nwvY kY rMig ] 
punnee paapee aakhan naahi., puMnI pwpI AwKxu nwih ] 
kar kar karnaa likh lai jaahu., kir kir krxw iliK lY jwhu ] 
aapay beej aapay hee khaahu., Awpy bIij Awpy hI Kwhu ] 
naanak hukmee aavhu jaahu. ||20||, nwnk hukmI Awvhu jwhu ]20] 
tirath tap da-i-aa dat daan., qIrQu qpu dieAw dqu dwnu ] 
jay ko paavai til kaa maan., jy ko pwvY iql kw mwnu ] 
suni-aa mani-aa man keetaa bhaa-o., suixAw mMinAw min kIqw Bwau ] 
antargat tirath mal naa-o., AMqrgiq qIriQ mil nwau ] 
sabh gun tayray mai naahee ko-ay., siB gux qyry mY nwhI koie ] 
vin gun keetay bhagat na ho-ay., ivxu gux kIqy Bgiq n hoie ] 
su-asat aath banee barmaa-o., suAsiq AwiQ bwxI brmwau ] 
sat suhaan sadaa man chaa-o., siq suhwxu sdw min cwau ] 
kavan so vaylaa vakhat kavan kavan thit kavan vaar., kvxu su vylw vKqu kvxu kvx iQiq kvxu vwru ] 
kavan se rutee maahu kavan jit ho-aa aakaar., kvix is ruqI mwhu kvxu ijqu hoAw Awkwru ] 
vayl na paa-ee-aa pandtee je hovai laykh puraan., vyl n pweIAw pMfqI ij hovY lyKu purwxu ] 
vakhat na paa-i-o kaadee-aa je likhan laykh kuraan., vKqu n pwieE kwdIAw ij ilKin lyKu kurwxu ] 
thit vaar naa jogee jaanai rut maahu naa ko-ee., iQiq vwru nw jogI jwxY ruiq mwhu nw koeI ] 
jaa kartaa sirthee ka-o saajay aapay jaanai so-ee., jw krqw isrTI kau swjy Awpy jwxY soeI ] 
kiv kar aakhaa kiv saalaahee ki-o varnee kiv jaanaa., ikv kir AwKw ikv swlwhI ikau vrnI ikv jwxw ] 
naanak aakhan sabh ko aakhai ik doo ik si-aanaa., nwnk AwKix sBu ko AwKY iek dU ieku isAwxw ] 
vadaa saahib vadee naa-ee keetaa jaa kaa hovai., vfw swihbu vfI nweI kIqw jw kw hovY ] 
naanak jay ko aapou jaanai agai ga-i-aa na sohai. ||21||, nwnk jy ko AwpO jwxY AgY gieAw n sohY ]21] 
paataalaa paataal lakh aagaasaa aagaas., pwqwlw pwqwl lK Awgwsw Awgws ] 
orhak orhak bhaal thakay vayd kahan ik vaat., EVk EVk Bwil Qky vyd khin iek vwq ] 
sahas athaarah kahan kataybaa asuloo ik Dhaat., shs ATwrh khin kqybw AsulU ieku Dwqu ] 
laykhaa ho-ay ta likee-ai laykhai ho-ay vinaas., lyKw hoie q ilKIAY lyKY hoie ivxwsu ] 
naanak vadaa aakhee-ai aapay jaanai aap. ||22||, nwnk vfw AwKIAY Awpy jwxY Awpu ]22] 
saalaahee saalaahi aytee surat na paa-ee-aa., swlwhI swlwih eyqI suriq n pweIAw ] 
nadee-aa atai vaah pavahi samund na jaanee-ahi., ndIAw AqY vwh pvih smuMid n jwxIAih ] 
samund saah sultaan girhaa saytee maal Dhan., smuMd swh sulqwn igrhw syqI mwlu Dnu ] 
keerhee tul na hovnee jay tis manhu na veesrahi. ||23||, kIVI quil n hovnI jy iqsu mnhu n vIsrih ]23] 
ant na siftee kahan na ant., AMqu n isPqI khix n AMqu ] 
ant na karnai dayn na ant., AMqu n krxY dyix n AMqu ] 
ant na vaykhan sunan na ant., AMqu n vyKix suxix n AMqu ] 
ant na jaapai ki-aa man mant., AMqu n jwpY ikAw min mMqu ] 
ant na jaapai keetaa aakaar., AMqu n jwpY kIqw Awkwru ] 
ant na jaapai paaraavaar., AMqu n jwpY pwrwvwru ] 
ant kaaran kaytay billaahi., AMq kwrix kyqy ibllwih ] 
taa kay ant na paa-ay jaahi., qw ky AMq n pwey jwih ] 
ayhu ant na jaanai ko-ay., eyhu AMqu n jwxY koie ] 
bahutaa kahee-ai bahutaa ho-ay., bhuqw khIAY bhuqw hoie ] 
vadaa saahib oochaa thaa-o., vfw swihbu aUcw Qwau ] 
oochay upar oochaa naa-o., aUcy aupir aUcw nwau ] 
ayvad oochaa hovai ko-ay., eyvfu aUcw hovY koie ] 
tis oochay ka-o jaanai so-ay., iqsu aUcy kau jwxY soie ] 
jayvad aap jaanai aap aap., jyvfu Awip jwxY Awip Awip ] 
naanak nadree karmee daat. ||24||, nwnk ndrI krmI dwiq ]24] 
bahutaa karam likhi-aa naa jaa-ay., bhuqw krmu iliKAw nw jwie ] 
vadaa daataa til na tamaa-ay., vfw dwqw iqlu n qmwie ] 
kaytay mangahi joDh apaar., kyqy mMgih joD Apwr ] 
kayti-aa ganat nahee veechaar., kyiqAw gxq nhI vIcwru ] 
kaytay khap tutahi vaykaar., kyqy Kip qutih vykwr ] 
kaytay lai lai mukar paahi., kyqy lY lY mukru pwih ] 
kaytay moorakh khaahee khaahi., kyqy mUrK KwhI Kwih ] 
kayti-aa dookh bhookh sad maar., kyiqAw dUK BUK sd mwr ] 
ayhi bhe daat tayree daataar., eyih iB dwiq qyrI dwqwr ] 
band khalaasee bhaanai ho-ay., bMid KlwsI BwxY hoie ] 
hor aakh na sakai ko-ay., horu AwiK n skY koie ] 
jay ko khaa-ik aakhan paa-ay., jy ko Kwieku AwKix pwie ] 
oh jaanai jaytee-aa muhi khaa-ay., Ehu jwxY jyqIAw muih Kwie ] 
aapay jaanai aapay day-ay., Awpy jwxY Awpy dyie ] 
aakhahi se bhe kay-ee kay-ay., AwKih is iB kyeI kyie ] 
jis no bakhsay sifat saalaah., ijs no bKsy isPiq swlwh ] 
naanak paatisaahee paatisaahu. ||25||, nwnk pwiqswhI pwiqswhu ]25] 
amul gun amul vaapaar., Amul gux Amul vwpwr ] 
amul vaapaaree-ay amul bhandaar., Amul vwpwrIey Amul BMfwr ] 
amul aavahi amul lai jaahi., Amul Awvih Amul lY jwih ] 
amul bhaa-ay amulaa samaahi., Amul Bwie Amulw smwih ] 
amul Dharam amul deebaan., Amulu Drmu Amulu dIbwxu ] 
amul tul amul parvaan., Amulu qulu Amulu prvwxu ] 
amul bakhsees amul neesaan., Amulu bKsIs Amulu nIswxu ] 
amul karam amul furmaan., Amulu krmu Amulu Purmwxu ] 
amulo amul aakhi-aa na jaa-ay., Amulo Amulu AwiKAw n jwie ] 
aakh aakh rahay liv laa-ay., AwiK AwiK rhy ilv lwie ] 
aakhahi vayd paath puraan., AwKih vyd pwT purwx ] 
aakhahi parhay karahi vakhi-aan., AwKih pVy krih viKAwx ] 
aakhahi barmay aakhahi ind., AwKih brmy AwKih ieMd ] 
aakhahi gopee tai govind., AwKih gopI qY goivMd ] 
aakhahi eesar aakhahi siDh., AwKih eIsr AwKih isD ] 
aakhahi kaytay keetay buDh., AwKih kyqy kIqy buD ] 
aakhahi daanav aakhahi dayv., AwKih dwnv AwKih dyv ] 
aakhahi sur nar mun jan sayv., AwKih suir nr muin jn syv ] 
kaytay aakhahi aakhan paahi., kyqy AwKih AwKix pwih ] 
kaytay kahi kahi uth uth jaahi., kyqy kih kih auiT auiT jwih ] 
aytay keetay hor karayhi., eyqy kIqy hoir kryih ] 
taa aakh na sakahi kay-ee kay-ay., qw AwiK n skih kyeI kyie ] 
jayvad bhaavai tayvad ho-ay., jyvfu BwvY qyvfu hoie ] 
naanak jaanai saachaa so-ay., nwnk jwxY swcw soie ] 
jay ko aakhai boluvigaarh., jy ko AwKY boluivgwVu ] 
taa likee-ai sir gaavaaraa gaavaar. ||26||, qw ilKIAY isir gwvwrw gwvwru ]26] 
so dar kayhaa so ghar kayhaa jit bahi sarab samaalay., so dru kyhw so Gru kyhw ijqu bih srb smwly ] 
vaajay naad anayk asankhaa kaytay vaavanhaaray., vwjy nwd Anyk AsMKw kyqy vwvxhwry ] 
kaytay raag paree si-o kahee-an kaytay gaavanhaaray., kyqy rwg prI isau khIAin kyqy gwvxhwry ] 
gaavahi tuhno pa-un paanee baisantar gaavai raajaa Dharam du-aaray., gwvih quhno pauxu pwxI bYsMqru gwvY rwjw Drmu duAwry ] 
gaavahi chit gupat likh jaaneh likh likh Dharam veechaaray., gwvih icqu gupqu iliK jwxih iliK iliK Drmu vIcwry ] 
gaavahi eesar barmaa dayvee sohan sadaa savaaray., gwvih eIsru brmw dyvI sohin sdw svwry ] 
gaavahi ind idaasan baithay dayviti-aa dar naalay., gwvih ieMd iedwsix bYTy dyviqAw dir nwly ] 
gaavahi siDh samaaDhee andar gaavan saaDh vichaaray., gwvih isD smwDI AMdir gwvin swD ivcwry ] 
gaavan jatee satee santokhee gaavahi veer karaaray., gwvin jqI sqI sMqoKI gwvih vIr krwry ] 
gaavan pandit parhan rakheesar jug jug vaydaa naalay., gwvin pMifq pVin rKIsr jugu jugu vydw nwly ] 
gaavahi mohnee-aa man mohan surgaa machh pa-i-aalay., gwvih mohxIAw mnu mohin surgw mC pieAwly ] 
gaavan ratan upaa-ay tayray athsath tirath naalay., gwvin rqn aupwey qyry ATsiT qIrQ nwly ] 
gaavahi joDh mahaabal sooraa gaavahi khaanee chaaray., gwvih joD mhwbl sUrw gwvih KwxI cwry ] 
gaavahi khand mandal varbhandaa kar kar rakhay Dhaaray., gwvih KMf mMfl vrBMfw kir kir rKy Dwry ] 
say-ee tuDhuno gaavahi jo tuDh bhaavan ratay tayray bhagat rasaalay., syeI quDuno gwvih jo quDu Bwvin rqy qyry Bgq rswly ] 
hor kaytay gaavan say mai chit na aavan naanak ki-aa veechaaray., hoir kyqy gwvin sy mY iciq n Awvin nwnku ikAw vIcwry ] 
so-ee so-ee sadaa sach saahib saachaa saachee naa-ee., soeI soeI sdw scu swihbu swcw swcI nweI ] 
hai bhee hosee jaa-ay na jaasee rachnaa jin rachaa-ee., hY BI hosI jwie n jwsI rcnw ijin rcweI ] 
rangee rangee bhaatee kar kar jinsee maa-i-aa jin upaa-ee., rMgI rMgI BwqI kir kir ijnsI mwieAw ijin aupweI ] 
kar kar vaykhai keetaa aapnaa jiv tis dee vadi-aa-ee., kir kir vyKY kIqw Awpxw ijv iqs dI vifAweI ] 
jo tis bhaavai so-ee karsee hukam na karnaa jaa-ee., jo iqsu BwvY soeI krsI hukmu n krxw jweI ] 
so paatisaahu saahaa paatisaahib naanak rahan rajaa-ee. ||27||, so pwiqswhu swhw pwiqswihbu nwnk rhxu rjweI ]27] 
munda santokh saram pat jholee Dhi-aan kee karahi bibhoot., muMdw sMqoKu srmu pqu JolI iDAwn kI krih ibBUiq ] 
khinthaa kaal ku-aaree kaa-i-aa jugat dandaa parteet., iKMQw kwlu kuAwrI kwieAw jugiq fMfw prqIiq ] 
aa-ee panthee sagal jamaatee man jeetai jag jeet., AweI pMQI sgl jmwqI min jIqY jgu jIqu ] 
aadays tisai aadays., Awdysu iqsY Awdysu ] 
aad aneel anaad anaahat jug jug ayko vays. ||28||, Awid AnIlu Anwid Anwhiq jugu jugu eyko vysu ]28] 
bhugat gi-aan da-i-aa bhandaaran ghat ghat vaajeh naad., Bugiq igAwnu dieAw BMfwrix Git Git vwjih nwd ] 
aap naath naathee sabh jaa kee riDh siDh avraa saad., Awip nwQu nwQI sB jw kI iriD isiD Avrw swd ] 
