English,Punjabi
,isimRiq swsqR byd sbY bhu Byd khY hm eyk n jwnXo ]
,sRI Aspwn ikRpw qumrI kir mY n khXo sB qoih bKwnXo ]
,dohrw ]
,sgl duAwr kau Cwif kY gihE quhwro duAwr ] 
,bWih ghy kI lwj As goibMd dws quhwr ]
,rwmklI mhlw 3 Anµdu
,siqgur pRswid ]
,Anµdu BieAw myrI mwey siqgurU mY pwieAw ] 
,siqguru q pwieAw shj syqI min vjIAw vwDweIAw ] 
,rwg rqn prvwr prIAw sbd gwvx AweIAw ] 
,sbdo q gwvhu hrI kyrw min ijnI vswieAw ] 
,khY nwnku Anµdu hoAw siqgurU mY pwieAw ]1] 
,ey mn myirAw qU sdw rhu hir nwly ] 
,hir nwil rhu qU mMn myry dUK siB ivswrxw ] 
,AMgIkwru Ehu kry qyrw kwrj siB svwrxw ] 
,sBnw glw smrQu suAwmI so ikau mnhu ivswry ] 
,khY nwnku mMn myry sdw rhu hir nwly ]2] 
,swcy swihbw ikAw nwhI Gir qyrY ] 
,Gir q qyrY sBu ikCu hY ijsu dyih su pwvey ] 
,sdw isPiq slwh qyrI nwmu min vswvey ] 
,nwmu ijn kY min visAw vwjy sbd Gnyry ] 
,khY nwnku scy swihb ikAw nwhI Gir qyrY ]3] 
,swcw nwmu myrw AwDwro ] 
,swcu nwmu ADwru myrw ijin BuKw siB gvweIAw ] 
,kir sWiq suK min Awie visAw ijin ieCw siB pujweIAw ] 
,sdw kurbwxu kIqw gurU ivthu ijs dIAw eyih vifAweIAw ] 
,khY nwnku suxhu sMqhu sbid Drhu ipAwro ] 
,swcw nwmu myrw AwDwro ]4] 
,vwjy pMc sbd iqqu Gir sBwgY ] 
,Gir sBwgY sbd vwjy klw ijqu Gir DwrIAw ] 
,pMc dUq quDu vis kIqy kwlu kMtku mwirAw ] 
,Duir krim pwieAw quDu ijn kau is nwim hir kY lwgy ] 
,khY nwnku qh suKu hoAw iqqu Gir Anhd vwjy ]5] 
,muMdwvxI mhlw 5 ] 
,Qwl ivic iqMin vsqU peIE squ sMqoKu vIcwro ]
,AMimRq nwmu Twkur kw pieE ijs kw sBsu ADwro ]
,jy ko KwvY jy ko BuMcY iqs kw hoie auDwro ]
,eyh vsqu qjI nh jweI inq inq rKu auir Dwro ]
,qm sMswru crn lig qrIAY sBu nwnk bRhm pswro ]1] 
,slok mhlw 5 ]
,qyrw kIqw jwqo nwhI mYno jogu kIqoeI ]
,mY inrguixAwry ko guxu nwhI Awpy qrsu pieEeI ]
,qrsu pieAw imhrwmiq hoeI siqguru sjxu imilAw ]
,nwnk nwmu imlY qW jIvW qnu mnu QIvY hirAw ]1]
,pauVI ]
,iqQY qU smrQu ijQY koie nwih ]
,EQY qyrI rK AgnI audr mwih ]
